Collection_Date,Blip_Dim1,Blip_Dim2,Blip_Dim3,Blip_Dim4,Blip_Dim5,Blip_Dim6,Blip_Dim7,Blip_Dim8,Blip_Dim9,Blip_Dim10,Blip_Dim11,Blip_Dim12,Blip_Dim13,Blip_Dim14,Blip_Dim15,Blip_Dim16,Blip_Dim17,Blip_Dim18,Blip_Dim19,Blip_Dim20,Blip_Dim21,Blip_Dim22,Blip_Dim23,Blip_Dim24,Blip_Dim25,Blip_Dim26,Blip_Dim27,Blip_Dim28,Blip_Dim29,Blip_Dim30,Blip_Dim31,Blip_Dim32,Blip_Dim33,Blip_Dim34,Blip_Dim35,Blip_Dim36,# samples
2020-03-31,0.0625,0.1875,0.1875,0.125,0.25,0.0625,0.25,0.125,0.0,0.0625,0.0625,0.1875,0.125,0.25,0.25,0.0625,0.1875,0.0625,0.25,0.0,0.0625,0.1875,0.125,0.0625,0.125,0.1875,0.1875,0.0625,0.125,0.1875,0.0,0.1875,0.0625,0.125,0.1875,0.0625,16
2020-04-30,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,33
2020-05-31,0.06779661016949153,0.03389830508474576,0.0847457627118644,0.15254237288135594,0.15254237288135594,0.06779661016949153,0.05084745762711865,0.03389830508474576,0.0847457627118644,0.15254237288135594,0.13559322033898305,0.06779661016949153,0.15254237288135594,0.1016949152542373,0.13559322033898305,0.13559322033898305,0.06779661016949153,0.03389830508474576,0.06779661016949153,0.11864406779661017,0.05084745762711865,0.15254237288135594,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.05084745762711865,0.13559322033898305,0.03389830508474576,0.06779661016949153,0.06779661016949153,0.0,0.06779661016949153,0.15254237288135594,0.2033898305084746,0.06779661016949153,0.11864406779661017,59
2020-06-30,0.020833333333333332,0.125,0.0,0.2708333333333333,0.3125,0.0625,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.14583333333333334,0.3125,0.3541666666666667,0.2916666666666667,0.3541666666666667,0.14583333333333334,0.041666666666666664,0.0625,0.125,0.08333333333333333,0.08333333333333333,0.125,0.125,0.10416666666666667,0.125,0.375,0.08333333333333333,0.08333333333333333,0.14583333333333334,0.08333333333333333,0.020833333333333332,0.125,0.25,0.041666666666666664,0.2916666666666667,48
2020-07-31,0.0874751491053678,0.21272365805168986,0.13916500994035785,0.12524850894632206,0.23856858846918488,0.09741550695825049,0.2047713717693837,0.14512922465208747,0.2922465208747515,0.147117296222664,0.13320079522862824,0.19681908548707752,0.27435387673956263,0.2047713717693837,0.16302186878727634,0.28429423459244535,0.36779324055666,0.09741550695825049,0.2047713717693837,0.27634194831013914,0.15904572564612326,0.17693836978131214,0.19681908548707752,0.15705765407554673,0.20278330019880716,0.25646123260437376,0.4274353876739563,0.2524850894632207,0.1550695825049702,0.2286282306163022,0.09542743538767395,0.147117296222664,0.27435387673956263,0.15705765407554673,0.11928429423459244,0.1312127236580517,503
2020-08-31,0.1989247311827957,0.20430107526881722,0.1774193548387097,0.1774193548387097,0.2849462365591398,0.16129032258064516,0.24731182795698925,0.1774193548387097,0.3602150537634409,0.22580645161290322,0.23118279569892472,0.25268817204301075,0.34408602150537637,0.26344086021505375,0.23655913978494625,0.3387096774193548,0.3709677419354839,0.10752688172043011,0.24193548387096775,0.2903225806451613,0.1827956989247312,0.27419354838709675,0.21505376344086022,0.17204301075268819,0.21505376344086022,0.25268817204301075,0.3279569892473118,0.3010752688172043,0.16129032258064516,0.22580645161290322,0.13978494623655913,0.1989247311827957,0.3225806451612903,0.24193548387096775,0.21505376344086022,0.22580645161290322,186
2020-09-30,0.16753926701570682,0.20418848167539266,0.225130890052356,0.15706806282722513,0.2356020942408377,0.16753926701570682,0.25654450261780104,0.25654450261780104,0.39790575916230364,0.19895287958115182,0.2356020942408377,0.20418848167539266,0.31413612565445026,0.19895287958115182,0.20418848167539266,0.3769633507853403,0.4293193717277487,0.193717277486911,0.24083769633507854,0.4083769633507853,0.16230366492146597,0.2198952879581152,0.2513089005235602,0.17277486910994763,0.19895287958115182,0.2356020942408377,0.39267015706806285,0.3717277486910995,0.19895287958115182,0.225130890052356,0.13089005235602094,0.2198952879581152,0.38219895287958117,0.24607329842931938,0.16753926701570682,0.23036649214659685,191
2020-10-31,0.27956989247311825,0.24731182795698925,0.3763440860215054,0.21505376344086022,0.3333333333333333,0.3225806451612903,0.27956989247311825,0.34408602150537637,0.3010752688172043,0.27956989247311825,0.3010752688172043,0.3118279569892473,0.3763440860215054,0.26881720430107525,0.3010752688172043,0.3010752688172043,0.3870967741935484,0.3333333333333333,0.3225806451612903,0.40860215053763443,0.25806451612903225,0.24731182795698925,0.3010752688172043,0.3333333333333333,0.3118279569892473,0.3225806451612903,0.3763440860215054,0.3118279569892473,0.3118279569892473,0.25806451612903225,0.20430107526881722,0.3333333333333333,0.3118279569892473,0.40860215053763443,0.26881720430107525,0.3655913978494624,93
2020-11-30,0.38461538461538464,0.28205128205128205,0.46153846153846156,0.4358974358974359,0.5641025641025641,0.23076923076923078,0.20512820512820512,0.5128205128205128,0.5384615384615384,0.358974358974359,0.38461538461538464,0.3076923076923077,0.5384615384615384,0.5897435897435898,0.38461538461538464,0.1794871794871795,0.46153846153846156,0.38461538461538464,0.38461538461538464,0.1794871794871795,0.2564102564102564,0.41025641025641024,0.46153846153846156,0.358974358974359,0.28205128205128205,0.41025641025641024,0.5897435897435898,0.358974358974359,0.5128205128205128,0.4358974358974359,0.4358974358974359,0.6410256410256411,0.28205128205128205,0.2564102564102564,0.3333333333333333,0.3333333333333333,39
2020-12-31,0.3448275862068966,0.8275862068965517,0.6896551724137931,0.7931034482758621,0.41379310344827586,0.1724137931034483,0.5172413793103449,0.41379310344827586,0.6551724137931034,0.5517241379310345,0.7931034482758621,0.6551724137931034,0.3103448275862069,0.4827586206896552,0.41379310344827586,0.3793103448275862,0.27586206896551724,0.6896551724137931,0.5517241379310345,0.2413793103448276,0.4482758620689655,0.6551724137931034,0.6896551724137931,0.4827586206896552,0.6551724137931034,0.3793103448275862,0.5862068965517241,0.6206896551724138,0.6551724137931034,0.20689655172413793,0.7931034482758621,0.7241379310344828,0.3103448275862069,0.7241379310344828,0.4482758620689655,0.3793103448275862,29
