Collection_Date,Blip_Dim1,Blip_Dim2,Blip_Dim3,Blip_Dim4,Blip_Dim5,Blip_Dim6,Blip_Dim7,Blip_Dim8,Blip_Dim9,Blip_Dim10,Blip_Dim11,Blip_Dim12,Blip_Dim13,Blip_Dim14,Blip_Dim15,Blip_Dim16,Blip_Dim17,Blip_Dim18,Blip_Dim19,Blip_Dim20,Blip_Dim21,Blip_Dim22,Blip_Dim23,Blip_Dim24,Blip_Dim25,Blip_Dim26,Blip_Dim27,Blip_Dim28,Blip_Dim29,Blip_Dim30,Blip_Dim31,Blip_Dim32,Blip_Dim33,Blip_Dim34,Blip_Dim35,Blip_Dim36,# samples
2020-03-31,0.030201342281879196,0.03859060402684564,0.013422818791946308,0.0436241610738255,0.03691275167785235,0.03859060402684564,0.053691275167785234,0.013422818791946308,0.0587248322147651,0.02348993288590604,0.07885906040268456,0.02181208053691275,0.06040268456375839,0.05536912751677853,0.10067114093959731,0.031879194630872486,0.05704697986577181,0.031879194630872486,0.018456375838926176,0.0436241610738255,0.026845637583892617,0.040268456375838924,0.09395973154362416,0.030201342281879196,0.030201342281879196,0.03355704697986577,0.025167785234899327,0.04865771812080537,0.03355704697986577,0.026845637583892617,0.025167785234899327,0.026845637583892617,0.04530201342281879,0.03859060402684564,0.05536912751677853,0.0587248322147651,596
2020-04-30,0.035897435897435895,0.041025641025641026,0.02564102564102564,0.05384615384615385,0.05128205128205128,0.03333333333333333,0.046153846153846156,0.015384615384615385,0.05897435897435897,0.02564102564102564,0.08717948717948718,0.023076923076923078,0.05128205128205128,0.07435897435897436,0.09230769230769231,0.023076923076923078,0.09487179487179487,0.038461538461538464,0.028205128205128206,0.05128205128205128,0.038461538461538464,0.0641025641025641,0.07692307692307693,0.041025641025641026,0.038461538461538464,0.02564102564102564,0.03076923076923077,0.035897435897435895,0.041025641025641026,0.05641025641025641,0.023076923076923078,0.038461538461538464,0.06923076923076923,0.03333333333333333,0.05128205128205128,0.02564102564102564,390
2020-05-31,0.12727272727272726,0.05454545454545454,0.0,0.07272727272727272,0.09090909090909091,0.03636363636363636,0.09090909090909091,0.01818181818181818,0.03636363636363636,0.0,0.10909090909090909,0.03636363636363636,0.07272727272727272,0.18181818181818182,0.14545454545454545,0.01818181818181818,0.07272727272727272,0.05454545454545454,0.05454545454545454,0.01818181818181818,0.10909090909090909,0.14545454545454545,0.2,0.12727272727272726,0.03636363636363636,0.07272727272727272,0.03636363636363636,0.07272727272727272,0.03636363636363636,0.01818181818181818,0.05454545454545454,0.0,0.01818181818181818,0.05454545454545454,0.0,0.09090909090909091,55
2020-06-30,0.0425531914893617,0.2127659574468085,0.0,0.0851063829787234,0.723404255319149,0.1276595744680851,0.7446808510638298,0.02127659574468085,0.06382978723404255,0.0851063829787234,0.1702127659574468,0.06382978723404255,0.14893617021276595,0.14893617021276595,0.2127659574468085,0.8085106382978723,0.1276595744680851,0.02127659574468085,0.1276595744680851,0.723404255319149,0.02127659574468085,0.14893617021276595,0.6595744680851063,0.0851063829787234,0.0851063829787234,0.10638297872340426,0.02127659574468085,0.6382978723404256,0.0425531914893617,0.0851063829787234,0.02127659574468085,0.02127659574468085,0.723404255319149,0.06382978723404255,0.5957446808510638,0.7021276595744681,47
2020-07-31,0.0,0.08928571428571429,0.25,0.21428571428571427,0.10714285714285714,0.14285714285714285,0.05357142857142857,0.26785714285714285,0.16071428571428573,0.0,0.17857142857142858,0.05357142857142857,0.35714285714285715,0.08928571428571429,0.23214285714285715,0.08928571428571429,0.32142857142857145,0.05357142857142857,0.05357142857142857,0.07142857142857142,0.03571428571428571,0.10714285714285714,0.07142857142857142,0.08928571428571429,0.10714285714285714,0.5178571428571429,0.30357142857142855,0.03571428571428571,0.5714285714285714,0.30357142857142855,0.3392857142857143,0.08928571428571429,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.32142857142857145,56
2020-08-31,0.15333333333333332,0.17333333333333334,0.2733333333333333,0.06666666666666667,0.06666666666666667,0.11333333333333333,0.24,0.2866666666666667,0.14666666666666667,0.04,0.24666666666666667,0.03333333333333333,0.44666666666666666,0.2,0.26,0.09333333333333334,0.28,0.05333333333333334,0.08,0.07333333333333333,0.06666666666666667,0.16,0.12,0.04666666666666667,0.2,0.5333333333333333,0.30666666666666664,0.11333333333333333,0.5,0.15333333333333332,0.32,0.03333333333333333,0.05333333333333334,0.06666666666666667,0.22,0.3333333333333333,150
2020-09-30,0.06349206349206349,0.14285714285714285,0.5873015873015873,0.15343915343915343,0.14814814814814814,0.08465608465608465,0.06878306878306878,0.6190476190476191,0.13756613756613756,0.10052910052910052,0.08994708994708994,0.1164021164021164,0.6984126984126984,0.1746031746031746,0.2222222222222222,0.1164021164021164,0.24338624338624337,0.06878306878306878,0.10052910052910052,0.1111111111111111,0.1111111111111111,0.10052910052910052,0.21164021164021163,0.047619047619047616,0.13756613756613756,0.5714285714285714,0.5925925925925926,0.2222222222222222,0.6190476190476191,0.10052910052910052,0.6137566137566137,0.10052910052910052,0.14814814814814814,0.10582010582010581,0.12698412698412698,0.6031746031746031,189
2020-10-31,0.1308411214953271,0.13551401869158877,0.6822429906542056,0.11214953271028037,0.1308411214953271,0.14485981308411214,0.11214953271028037,0.6448598130841121,0.17757009345794392,0.14018691588785046,0.13551401869158877,0.12149532710280374,0.7149532710280374,0.1822429906542056,0.2757009345794392,0.11682242990654206,0.21495327102803738,0.13551401869158877,0.13551401869158877,0.13551401869158877,0.10747663551401869,0.205607476635514,0.22897196261682243,0.13551401869158877,0.11214953271028037,0.719626168224299,0.6822429906542056,0.205607476635514,0.719626168224299,0.1308411214953271,0.705607476635514,0.1542056074766355,0.17289719626168223,0.1822429906542056,0.11682242990654206,0.6635514018691588,214
2020-11-30,0.1232876712328767,0.21232876712328766,0.6643835616438356,0.1917808219178082,0.273972602739726,0.2945205479452055,0.18493150684931506,0.6643835616438356,0.21232876712328766,0.2054794520547945,0.2602739726027397,0.10273972602739725,0.6575342465753424,0.1917808219178082,0.3287671232876712,0.10273972602739725,0.2191780821917808,0.18493150684931506,0.1095890410958904,0.2191780821917808,0.07534246575342465,0.18493150684931506,0.2876712328767123,0.22602739726027396,0.2534246575342466,0.4863013698630137,0.5958904109589042,0.3767123287671233,0.5958904109589042,0.13013698630136986,0.6712328767123288,0.2191780821917808,0.2054794520547945,0.1506849315068493,0.136986301369863,0.547945205479452,146
2020-12-31,0.14344262295081966,0.22540983606557377,0.6885245901639344,0.3237704918032787,0.2786885245901639,0.25,0.319672131147541,0.5450819672131147,0.22131147540983606,0.319672131147541,0.27049180327868855,0.29508196721311475,0.5942622950819673,0.23770491803278687,0.2786885245901639,0.1885245901639344,0.2581967213114754,0.29508196721311475,0.24180327868852458,0.25,0.1762295081967213,0.3319672131147541,0.4139344262295082,0.2459016393442623,0.29508196721311475,0.6598360655737705,0.680327868852459,0.4139344262295082,0.6557377049180327,0.2540983606557377,0.5614754098360656,0.22540983606557377,0.2581967213114754,0.3401639344262295,0.2581967213114754,0.5450819672131147,244
